Running for 480.0 seconds (960 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
14:40:58  16.8   0.0  33.2  49.8   0.2    5   2100   2326   0.00E
14:40:58  17.8   0.0  32.3  49.9   0.0    5   2044   2224   0.00E
14:40:59  16.5   0.0  33.8  49.8   0.0    5   1886   2268   0.00E
14:40:59  15.2   0.0  34.9  49.9   0.0    5   2148   2272   0.00E
14:41:00  16.5   0.0  33.6  49.9   0.0    5   1920   2316   0.00E
14:41:00  16.5   0.0  33.6  49.9   0.0    5   1964   2162   0.00E
14:41:01  17.5   0.0  32.5  50.0   0.0    5   1648   2158   0.00E
14:41:01  17.0   0.0  33.2  49.5   0.2    5   2388   2578   0.00E
14:41:02  16.5   0.0  33.6  49.9   0.0    5   2054   2348   0.00E
14:41:02  18.0   0.0  32.3  49.6   0.0    5   2084   2308   0.00E
14:41:03  18.2   0.0  32.4  49.1   0.2    5   2022   2324   0.00E
14:41:03  18.0   0.0  32.6  49.4   0.0    5   2622   2430   0.00E
14:41:04  17.8   0.0  32.1  50.1   0.0    5   1772   2310   0.00E
14:41:04  17.5   0.0  32.6  49.9   0.0    5   2208   2378   0.00E
14:41:05  16.3   0.0  33.8  49.9   0.0    5   1842   2190   0.00E
14:41:05  17.8   0.0  32.3  49.9   0.0    5   2100   2318   0.00E
14:41:06  18.5   0.0  31.5  50.0   0.0    5   1966   2360   0.00E
14:41:06  15.8   0.0  34.5  49.5   0.2    5   1960   2290   0.00E
14:41:07  15.0   0.0  35.0  50.0   0.0    5   1740   2286   0.00E
14:41:07  17.5   0.0  32.9  49.6   0.0    5   1930   2288   0.00E
14:41:08  17.6   0.0  32.4  49.7   0.3    5   1826   2224   0.00E
14:41:08  19.5   0.0  30.6  49.9   0.0    5   1980   2256   0.00E
14:41:09  16.0   0.0  34.2  49.9   0.0    5   1646   2140   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
14:41:09  17.0   0.0  33.0  50.0   0.0    5   2012   2424   0.00E
14:41:10  15.3   0.0  34.7  50.0   0.0    6   1860   2400   0.00E
14:41:10  18.8   0.0  32.0  49.2   0.0    5   3166   5360   0.00E
14:41:11  18.8   0.0  31.6  49.6   0.0    5   4260   9500   0.00E
14:41:11  18.8   0.0  31.6  49.6   0.0    5   3072   8912   0.00E
14:41:12  16.5   0.0  33.7  49.6   0.2    5   1982   3112   0.00E
14:41:12  19.1   0.0  31.2  49.7   0.0    5   3104   5024   0.00E
14:41:13  17.5   0.0  34.5  48.0   0.0    5   3626   4014   0.00E
14:41:13  16.8   0.0  33.8  49.5   0.0    5   4306   7582   0.00E
14:41:14  17.8   0.0  32.3  49.9   0.0    5   2946   8774   0.00E
14:41:14  19.5   0.0  31.5  48.8   0.2    5   3390   8698   0.00E
14:41:15  17.8   0.0  32.3  49.6   0.3    5   3128   8982   0.00E
14:41:15  17.2   0.0  33.0  49.8   0.0    5   3216   9152   0.00E
14:41:16  18.5   0.0  32.0  49.5   0.0    5   3352   9652   0.00E
14:41:16  17.5   0.0  33.1  49.4   0.0    6   3252  10060   0.00E
14:41:17  16.6   0.0  33.4  50.0   0.0    5   2860   9432   0.00E
14:41:17  17.8   0.0  32.8  49.4   0.0    5   3658   9582   0.00E
14:41:18  16.2   0.0  34.0  49.8   0.0    6   2078   4818   0.00E
14:41:18  16.5   0.0  34.5  49.0   0.0    5   3370   5374   0.00E
14:41:19  18.5   0.0  31.8  49.8   0.0    5   1936   4934   0.00E
14:41:19  17.5   0.0  32.8  49.6   0.0    6   3796   6604   0.00E
14:41:20  16.0   0.0  34.5  49.5   0.0    5   3956   9076   0.00E
14:41:20  20.1   0.0  30.6  48.9   0.5    5   2760   6820   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
14:41:21  15.5   0.0  34.5  50.0   0.0    5   2600   6046   0.00E
